jackknife_run bin_cM average_cov exp_fit
all 0.75800 0.00003 0.00007
all 0.75900 0.00038 0.00007
all 0.76000 -0.00023 0.00007
all 0.76100 -0.00034 0.00007
all 0.76200 -0.00025 0.00007
all 0.76300 -0.00024 0.00007
all 0.76400 -0.00081 0.00007
all 0.76500 0.00037 0.00007
all 0.76600 0.00046 0.00007
all 0.76700 0.00083 0.00007
all 0.76800 0.00101 0.00007
all 0.76900 0.00062 0.00007
all 0.77000 0.00044 0.00007
all 0.77100 0.00093 0.00007
all 0.77200 -0.00008 0.00007
all 0.77300 0.00010 0.00007
all 0.77400 0.00067 0.00007
all 0.77500 0.00021 0.00007
all 0.77600 0.00105 0.00007
all 0.77700 -0.00044 0.00007
all 0.77800 -0.00040 0.00007
all 0.77900 0.00042 0.00007
all 0.78000 0.00191 0.00007
all 0.78100 0.00002 0.00007
all 0.78200 -0.00005 0.00007
all 0.78300 0.00003 0.00007
all 0.78400 0.00059 0.00006
all 0.78500 0.00040 0.00006
all 0.78600 -0.00036 0.00006
all 0.78700 0.00094 0.00006
all 0.78800 -0.00015 0.00006
all 0.78900 0.00009 0.00006
all 0.79000 0.00035 0.00006
all 0.79100 0.00064 0.00006
all 0.79200 -0.00021 0.00006
all 0.79300 -0.00024 0.00006
all 0.79400 -0.00051 0.00006
all 0.79500 -0.00089 0.00006
all 0.79600 0.00047 0.00006
all 0.79700 -0.00011 0.00006
all 0.79800 -0.00137 0.00006
all 0.79900 -0.00010 0.00006
all 0.80000 -0.00103 0.00006
all 0.80100 -0.00167 0.00006
all 0.80200 -0.00150 0.00006
all 0.80300 -0.00095 0.00006
all 0.80400 -0.00067 0.00006
all 0.80500 -0.00129 0.00006
all 0.80600 -0.00049 0.00006
all 0.80700 -0.00089 0.00006
all 0.80800 -0.00136 0.00006
all 0.80900 -0.00042 0.00006
all 0.81000 -0.00055 0.00006
all 0.81100 -0.00013 0.00006
all 0.81200 0.00009 0.00006
all 0.81300 -0.00150 0.00006
all 0.81400 -0.00030 0.00006
all 0.81500 0.00130 0.00006
all 0.81600 0.00070 0.00006
all 0.81700 0.00032 0.00006
all 0.81800 0.00065 0.00006
all 0.81900 0.00026 0.00006
all 0.82000 -0.00137 0.00006
all 0.82100 -0.00146 0.00006
all 0.82200 -0.00103 0.00006
all 0.82300 -0.00099 0.00006
